TITLE = "Riemann numerical vs exact"
VARIABLES = "x", "rho", "u", "p"
ZONE T="Numerical", I=501, F=POINT
0.000000000000000e+00 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
2.000000000000000e-03 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
4.000000000000000e-03 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
6.000000000000000e-03 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
8.000000000000000e-03 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.000000000000000e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.200000000000000e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.400000000000000e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.600000000000000e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.800000000000000e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
2.000000000000000e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
2.200000000000000e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
2.400000000000000e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
2.600000000000000e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
2.800000000000000e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
3.000000000000000e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
3.200000000000000e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
3.400000000000000e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
3.600000000000000e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
3.800000000000000e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
4.000000000000000e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
4.200000000000000e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
4.400000000000000e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
4.600000000000000e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
4.800000000000000e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
5.000000000000000e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
5.200000000000000e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
5.400000000000000e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
5.600000000000000e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
5.800000000000000e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
6.000000000000000e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
6.200000000000000e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
6.400000000000000e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
6.600000000000000e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
6.800000000000000e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
7.000000000000001e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
7.199999999999999e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
7.400000000000000e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
7.600000000000000e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
7.800000000000000e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
8.000000000000000e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
8.200000000000000e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
8.400000000000001e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
8.599999999999999e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
8.799999999999999e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
9.000000000000000e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
9.200000000000000e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
9.400000000000000e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
9.600000000000000e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
9.800000000000000e-02 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.000000000000000e-01 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.020000000000000e-01 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.040000000000000e-01 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.060000000000000e-01 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.080000000000000e-01 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.100000000000000e-01 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.120000000000000e-01 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.140000000000000e-01 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.160000000000000e-01 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.180000000000000e-01 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.200000000000000e-01 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.220000000000000e-01 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.240000000000000e-01 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.260000000000000e-01 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.280000000000000e-01 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.300000000000000e-01 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.320000000000000e-01 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.340000000000000e-01 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.360000000000000e-01 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.380000000000000e-01 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.400000000000000e-01 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.420000000000000e-01 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.440000000000000e-01 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.460000000000000e-01 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.480000000000000e-01 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.500000000000000e-01 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.520000000000000e-01 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.540000000000000e-01 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.560000000000000e-01 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.580000000000000e-01 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.600000000000000e-01 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.620000000000000e-01 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.640000000000000e-01 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.660000000000000e-01 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.680000000000000e-01 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.700000000000000e-01 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.720000000000000e-01 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.740000000000000e-01 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.760000000000000e-01 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.780000000000000e-01 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
1.800000000000000e-01 1.000000000000000e+00 -2.000000000000000e-01 5.000000000000000e-01
